DMA,retail_month,gross_bookings
richmond-petersburg,3/1/19,9609
des moines-ames,5/1/19,9540
charlotte,12/1/18,9476
buffalo,9/1/18,9470
lansing,11/1/18,9463
houston,6/1/18,9345
houston,8/1/18,9255
austin,6/1/18,9250
pittsburgh,8/1/18,9250
cleveland-akron,7/1/18,9155
oklahoma city,3/1/19,9150
indianapolis,4/1/19,9115
yakima-pasco-rchlnd-knnwck,5/1/19,9070
miami-fort lauderdale,2/1/19,9064
oklahoma city,7/1/18,9005
charlotte,9/1/18,9005
pittsburgh,4/1/19,9000
charlotte,10/1/18,8965
monterey-salinas,12/1/18,8928
dallas-fort worth,8/1/18,8910
cincinnati,7/1/18,8900
albuquerque-santa fe,11/1/18,8799
tampa-st petersburg-sarasota,12/1/18,8788
nashville,8/1/18,8750
jacksonville,11/1/18,8724
jacksonville,1/1/19,8665
indianapolis,3/1/19,8655
pittsburgh,5/1/19,8655
roanoke-lynchburg,2/1/19,8615
pittsburgh,9/1/18,8610
sacramento-stockton-modesto,7/1/18,8610
santa barbara-san mar-san luis obispo,2/1/19,8608
pittsburgh,7/1/18,8605
miami-fort lauderdale,7/1/18,8560
milwaukee,10/1/18,8505
"columbus, oh",7/1/18,8500
baltimore,1/1/19,8450
kansas city,12/1/18,8415
saint louis,7/1/18,8410
roanoke-lynchburg,3/1/19,8378
saint louis,5/1/19,8274
"columbus, oh",12/1/18,8260
minneapolis-saint paul,8/1/18,8250
norfolk-portsmouth-newport news,2/1/19,8210
pittsburgh,1/1/19,8147
albuquerque-santa fe,1/1/19,8136
phoenix,4/1/19,8128
"columbus, oh",3/1/19,8105
cleveland-akron,10/1/18,8015
"columbus, oh",9/1/18,8015
san diego,3/1/19,8013
cincinnati,5/1/19,8000
knoxville,11/1/18,8000
albuquerque-santa fe,7/1/18,8000
phoenix,1/1/19,7911
jacksonville,10/1/18,7865
omaha,11/1/18,7825
jacksonville,4/1/19,7805
miami-fort lauderdale,10/1/18,7773
san antonio,3/1/19,7770
wilkes barre-scranton,12/1/18,7765
duluth-superior,2/1/19,7737
santa barbara-san mar-san luis obispo,5/1/19,7735
new orleans,11/1/18,7700
cincinnati,4/1/19,7699
san diego,1/1/19,7640
west palm beach-ft pierce,7/1/18,7610
birmingham,3/1/19,7568
mobile-pensacola,11/1/18,7563
richmond-petersburg,12/1/18,7538
greensboro-high point-winston salem,2/1/19,7529
fresno-visalia,12/1/18,7527
indianapolis,12/1/18,7510
louisville,3/1/19,7475
sacramento-stockton-modesto,12/1/18,7449
charlottesville,11/1/18,7439
cleveland-akron,6/1/18,7420
colorado springs-pueblo,11/1/18,7413
indianapolis,7/1/18,7405
orlando-daytona beach-melbourne,5/1/19,7370
charlotte,5/1/19,7340
harrisburg-lancaster-lebanon-york,4/1/19,7324
san diego,4/1/19,7323
charlotte,1/1/19,7320
milwaukee,7/1/18,7315
grand rapids-kalamazoo-battle creek,1/1/19,7260
albuquerque-santa fe,12/1/18,7230
rochester-mason city-austin,2/1/19,7160
santa barbara-san mar-san luis obispo,7/1/18,7155
albany-schenectady-troy,1/1/19,7125
oklahoma city,2/1/19,7115
orlando-daytona beach-melbourne,7/1/18,7115
baltimore,8/1/18,7070
harrisburg-lancaster-lebanon-york,5/1/19,7020
madison,12/1/18,7015
salt lake city,8/1/18,6965
salt lake city,6/1/18,6965
minneapolis-saint paul,6/1/18,6905
saint louis,12/1/18,6893
oklahoma city,11/1/18,6885
kansas city,10/1/18,6883
albany-schenectady-troy,2/1/19,6815
new orleans,10/1/18,6815
wichita-hutchinson plus,2/1/19,6814
harrisburg-lancaster-lebanon-york,12/1/18,6814
saint louis,9/1/18,6810
monterey-salinas,1/1/19,6765
grand rapids-kalamazoo-battle creek,2/1/19,6763
pittsburgh,12/1/18,6720
lexington,4/1/19,6685
boise,2/1/19,6681
sacramento-stockton-modesto,8/1/18,6680
charlottesville,1/1/19,6670
fort smith-fay-sprngdl,11/1/18,6670
"charleston, sc",11/1/18,6665
colorado springs-pueblo,4/1/19,6627
san antonio,12/1/18,6578
miami-fort lauderdale,8/1/18,6570
"rochester, ny",2/1/19,6568
grand rapids-kalamazoo-battle creek,12/1/18,6558
cedar rapids-waterloo-dubuque,3/1/19,6539
champaign-springfield-decatur,4/1/19,6536
grand rapids-kalamazoo-battle creek,5/1/19,6525
tampa-st petersburg-sarasota,7/1/18,6525
richmond-petersburg,9/1/18,6520
south bend-elkhart,3/1/19,6493
albany-schenectady-troy,11/1/18,6475
detroit,6/1/18,6475
odessa-midland,9/1/18,6470
madison,7/1/18,6470
green bay-appleton,11/1/18,6429
tucson-sierra vista,5/1/19,6365
"columbus, oh",10/1/18,6363
south bend-elkhart,11/1/18,6355
sacramento-stockton-modesto,9/1/18,6330
tucson-sierra vista,2/1/19,6330
indianapolis,5/1/19,6320
monterey-salinas,4/1/19,6320
san antonio,9/1/18,6265
oklahoma city,5/1/19,6190
richmond-petersburg,10/1/18,6175
madison,5/1/19,6170
toledo,11/1/18,6166
eugene,1/1/19,6163
albany-schenectady-troy,12/1/18,6149
tampa-st petersburg-sarasota,9/1/18,6120
roanoke-lynchburg,4/1/19,6118
indianapolis,6/1/18,6115
duluth-superior,7/1/18,6115
harrisburg-lancaster-lebanon-york,9/1/18,6115
orlando-daytona beach-melbourne,4/1/19,6060
richmond-petersburg,1/1/19,6025
madison,6/1/18,6025
reno,2/1/19,6020
"bend, or",4/1/19,6017
buffalo,5/1/19,6000
albany-schenectady-troy,3/1/19,5997
salt lake city,10/1/18,5970
chattanooga,10/1/18,5970
greenville-spartanburg-asheville,7/1/18,5970
albuquerque-santa fe,2/1/19,5950
cincinnati,10/1/18,5930
cedar rapids-waterloo-dubuque,12/1/18,5928
greensboro-high point-winston salem,5/1/19,5915
"charleston, sc",5/1/19,5905
"rochester, ny",5/1/19,5890
missoula,5/1/19,5880
charlotte,6/1/18,5875
miami-fort lauderdale,3/1/19,5838
phoenix,12/1/18,5828
jacksonville,9/1/18,5825
tampa-st petersburg-sarasota,1/1/19,5820
huntsville-decatur-florence,12/1/18,5820
phoenix,6/1/18,5810
san antonio,1/1/19,5770
new orleans,3/1/19,5715
albuquerque-santa fe,10/1/18,5715
las vegas,11/1/18,5702
reno,7/1/18,5680
"charleston, sc",2/1/19,5670
san antonio,7/1/18,5665
des moines-ames,11/1/18,5660
wichita-hutchinson plus,7/1/18,5620
new orleans,2/1/19,5610
spokane,4/1/19,5558
reno,5/1/19,5535
biloxi-gulfport,2/1/19,5528
chattanooga,4/1/19,5525
buffalo,3/1/19,5525
boise,3/1/19,5503
norfolk-portsmouth-newport news,3/1/19,5470
boise,5/1/19,5445
raleigh-durham,8/1/18,5420
des moines-ames,12/1/18,5420
louisville,12/1/18,5420
buffalo,10/1/18,5380
huntsville-decatur-florence,9/1/18,5375
jacksonville,12/1/18,5370
albany-schenectady-troy,9/1/18,5365
oklahoma city,4/1/19,5335
lansing,4/1/19,5330
fort smith-fay-sprngdl,12/1/18,5329
san antonio,6/1/18,5320
